부여번호,기업명,대표자명,주소,담당자,담당자연락처
10235943,데버주식회사,임종건,서울특별시 성동구 성수일로 111 (성수동1가),임종현,02-3210-0144
10237194,더블유엠(주),김은진,경기도 화성시 마도면 청원산단1길 10-15,전장희,031-8055-0510
10103304,브이넷코리아(주),장성호,서울특별시 송파구 법원로 128 (문정동),장성호,02-400-8942
10102592,이에이트(주),김진현,서울특별시 송파구 올림픽로 300 (신천동),임동주,02-6410-2800
10237096,주식회사 소어텍,김세종,서울특별시 금천구 가산디지털1로 205-27 (가산동),김나영,070-4245-4285
10080845,(주)울트라이노베이션,표석봉,"충청남도 아산시 탕정면 선문로221번길 70, 412호(선문대학교, 산학협력관)",박계랑,041-424-7165
10076096,(주)한국바코드정보기술,최두석,부산광역시 중구 중앙대로 122 (중앙동4가)  206(성우빌딩 206호),윤정우,051-441-4131
10236997,주식회사 와이에스시스템,김영수,경기도 수원시 팔달구 경수대로 425 (인계동),김영수,031-221-9006
10085608,인티맥스 주식회사,곽철우,경기도 성남시 분당구 대왕판교로395번길 8 (백현동),김경환,010-****-****
10237203,주식회사 쿠치,이동훈,세종특별자치시 조치원읍 군청로 93,정은봉,010-****-****
10235299,다담시스템 주식회사,신동학,경상남도 함안군 칠서면 삼칠로 471-8,신동학,010-****-****
10237148,우짜,조영우,부산광역시 해운대구 센텀중앙로 78 (우동),조영우,010-****-****
10077228,도원정보,이재수,부산광역시 북구 의성로 118 (덕천동),이재용,051-337-8201
10077152,주인정보시스템,김근호,서울특별시 강남구 논현로102길 7 (역삼동) 주인빌딩,김대연,02-2054-0042
10078130,(주)스페이스솔루션,송구용,경기도 오산시 수목원로 606 (세교동) 오산씨엘타워 312~314호,고석주,031-458-7783
10076180,(주)부뜰정보시스템,이성중,서울특별시 영등포구 영등포로 144 (당산동1가),이영한,02-6119-6442
10081365,주식회사 뎁스 ,황욱철,경상남도 창원시 의창구 차룡로48번길 52 (팔용동),황욱철,055-714-8279
10078328,(주)포커스윈,박희찬,경상남도 창원시 마산회원구 내서읍 광려천남로 59,박희찬,055-224-6633
10081488,닮은꼴소프트,조원중,경기도 부천시 원미구 상일로 120 (상동),조원중,032-261-3009
10094985,주식회사 인텔렉투스,"김승욱, 고선규",서울특별시 강남구 영동대로85길 13 (대치동),고선규,031-883-7648
10103775,(주)랩큐,김한수,서울특별시 영등포구 양평로21길 26(양평동5가) 23층 2301호,김한수,02-6953-8053
10236553,주식회사 에스브이티,김태훈,경기도 수원시 영통구 광교산로 154-42 (이의동),김태훈,010-****-****
10232547,앤드스퀘어 주식회,최호열,경기도 화성시 동탄대로 677-5 (영천동),한성환,010-****-****
10237066,보성오토메이션(주),김성복,부산광역시 금정구 개좌로 273-20 (회동동),김성복,051-668-5192
10232802,(주)라이브워크,엄봉식,경상남도 진주시 동부로169번길 12 (충무공동),임민지,070-4440-8250
10236885,주식회사 에스엔티코리아,이태웅,충청북도 청주시 청원구 오창읍 양청송대길 10,홍성환,043-903-3900
10108624,(주)지이엔아이,목대균,경기도 안산시 단원구 엠티브이12로22번길 9,목대균,070-7702-9010
10082224,유디에스,함정우,경기도 성남시 수정구 금토로 75 (금토동),조대승,031-759-9738
10104004,주식회사 우성기계,이창우,경기도 파주시 월롱면 홀작로 70-113,이창우,031-947-6856
10108109,주식회사 시우이엔티,강무성,부산광역시 부산진구 중앙대로 922 (양정동),강무성,051-783-0824
10001952,(주)명산,김판권,경북 영천시 임고면 수평길 108,박상민,054-331-4700
10231998,어바스(URBAS),우정석,서울특별시 영등포구 선유로3길 10 (문래동5가),황현정,070-4300-3546
10237045,엠티에스 주식회사,김중언,전라남도 영암군 삼호읍 나불로 163,노윤아,070-4848-1241
10237053,(주)에스에치테크놀로지,한상진,경기도 안양시 만안구 안양로 111 (안양동),한상진,032-204-0808
10237077,하이퍼비주얼에이아이,정삼윤,경기도 용인시 기흥구 흥덕2로 15 (영덕동),정삼윤,010-****-****
10090574,주식회사 브릴스(BRILS Corp.),전진,인천광역시 연수구 갯벌로 94 (송도동),정다희,032-721-4760
10090280,(주)한국인프라,김기영,서울특별시 강남구 삼성로 150 (대치동) 극동교회B/D 3층 (주)한국인프라,김민주,055-262-8086
10235913,주식회사 서로,하지훈,인천광역시 연수구 송도미래로11번길 27 (송도동),하지훈,032-721-7118
10236011,(주)하이팩테크,하헌준,인천광역시 서구 청라커낼로 280 (청라동),하헌준,010-****-****
10237003,포스랩 주식회사,권창현,대전광역시 유성구 테크노9로 35 (탑립동),권창현,042-721-5678
10090990,(주)이룸디엔티,정윤규,경기도 군포시 고산로126번길 25 (당정동),백한나,070-4632-0811
10093258,(주)세안정기,장길화,경상북도 경산시 압량읍 일연로115길 25-30 세안정기,신종국,053-581-5188
10108980,(주)지존소프트,황태연,세종특별자치시 연서면 와룡로 415,황태연,031-811-5736
10236331,주식회사 블루웍스,송혜자,경기도 성남시 분당구 판교역로 225-15 (삼평동),정우승,02-3461-5100
10237000,주식회사 유니티컬,김동연,울산광역시 중구 종가로 406-21 (복산동),정세웅,010-****-****
10237022,에이디치히얌,강주원,서울특별시 마포구 마포대로 12 (마포동),강주원,010-****-****
10236929,에스에치테크놀로지,한상진,경기도 안양시 만안구 안양로 111 (안양동),한상진,032-204-0808
10079313,유스엠(주),박종화,"서울특별시 금천구 벚꽃로 298, 408호 (가산동,대륭포스트타워6차)",박종호,02-861-3724
10095055,(주)이앤비솔루션,김선빈,"경기도 용인시 기흥구 서천로201번길 14, 514-515호 (농서동)",김선빈,031-202-1513
10234843,아이오티플러스,박영철,전라남도 나주시 교육길 13 (빛가람동),한형률,061-337-9080
10094204,(주)베스테크,원기정,경기도 화성시 동탄산단5길 10-19 (방교동),모문화,031-352-5539
10099732,주식회사 헥사아이,박주혁,서울특별시 강남구 선릉로125길 5 (논현동),박주혁,02-400-8508
10236819,주식회사 딥비전,김태훈,대구광역시 동구 신암남로24길 107 (신암동),정관우,053-955-9282
10234218,(주)헤드아이티,김재환,전북특별자치도 전주시 완산구 홍산남로 19 (효자동2가),민병준,063-243-8972
10235827,라씨(LASEE),석수민,경상북도 구미시 대학로 61 (양호동),이원석,054-472-8279
10236420,(주)글로브포인트,조상용,경기도 고양시 덕양구 삼원로 83 (원흥동),오문지,031-911-0601
10236618,주식회사 브이더블유원,이상훈,강원특별자치도 춘천시 춘천로 188 (효자동),장경원,010-****-****
10236491,(주)쓰리디바이오캐드아시아,정희진,서울특별시 송파구 중대로 132 (가락동),정희진,070-4289-4333
10236941,다온플레이스 주식회사,박주현,전라남도 나주시 우정로 56 (빛가람동),김세인,061-820-8070
10231385,조이랩,조이랩,경상북도 경산시 삼풍로 27 (삼풍동),권영건,010-****-****
10236571,퓨처워크랩 주식회사,박은규,서울특별시 강남구 강남대로112길 47 (논현동),박은규,02-832-9071
10104930,폴라리스쓰리디,곽인범,경상북도 포항시 남구 시청로 18 (대잠동),구보경,054-275-0223
10236977,테크 로보틱스 에어리어,김학민,경상북도 구미시 대학로 61 (양호동),김학민,070-8802-8333
10064967,(주)남영기계,백남헌,경기도 시흥시 공단1대로196번길 141 (정왕동),이복순,031-488-9966
10076408,주식회사 매일정보기술,서병훈,서울특별시 금천구 디지털로 121 (가산동) 에이스가산타워 1403호,박준욱,02-3016-2476
10089947,(주)림시스템,임수현,경기도 화성시 팔탄면 서해로1313번길 56-22 1동,손동천,031-351-1427
10094941,주식회사 뉴로센스,최윤희,"경기도 광명시 소하로 190(소하동) 광명G타워 A동 10층 13,14,15호",안유진,02-6275-6700
10236860,주식회사 유에듀케이션,정원석,경기도 수원시 권선구 세권로 219 (권선동),한세빈,010-****-****
10231585,제이에스테크,엄진섭,광주광역시 북구 첨단연신로398번길 10 (연제동),엄기원,010-****-****
10231611,(주)에디넷,이병걸,부산광역시 동구 중앙대로308번길 3-6 (초량동),이남희,051-442-2415
10233722,(주)에이치원엘레멘트,최현숙,서울특별시 관악구 호암로 600 (신림동),최우열,010-****-****
10236944,디토주식회사,오경원,충청남도 천안시 서북구 백석공단1로 10 (백석동),윤지숙,041-906-5100
10071609,주식회사 마루온,한연수,충청북도 청주시 청원구 오창읍 두릉유리로 1247,이하림,070-8670-4351
10004195,(주)이파피루스,김정희,"경기도 성남시 분당구 판교역로 230 (삼평동) B동 408호(삼평동,삼환하이펙스)",홍가영,02-2023-1749
10093075,주식회사 리스너,"최성천, 김원",서울특별시 강남구 선릉로93길 27 (역삼동) 9층,박주은,02-568-2612
10075639,(주)무한콘트롤,박영준,경기도 성남시 중원구 둔촌대로 560 (상대원동),권종웅,031-737-8160
10078610,(주)하이컴텍,강구만,서울특별시 금천구 가산디지털1로 145 (가산동) 에이스하이엔드3차 1802호,박철,15668591
10076754,주식회사 티비씨,이기형,"충청북도 청주시 흥덕구 강내면 월곡길 38 충청대학교 1층 115호(제1생활관, i동)",이기형,043-230-2616
10236902,팸테크,이종준,부산광역시 기장군 기장읍 청강로 52,이종준,070-7537-2455
10104664,주식회사 미플랫,최민기,울산광역시 중구 동천1길 40 (서동),최민기,010-****-****
10221388,플래닝고,신진욱,서울특별시 관악구 낙성대로 2 (봉천동),최민혁,02-6949-5511
10077838,주식회사 케이이노텍,이근영,서울특별시 강남구 테헤란로84길 14 (대치동) 지어로빌딩 6층,조상범,02-585-1295
10090798,(주)에코시안,문성철,서울특별시 금천구 디지털로9길 65 (가산동) 백상스타타워 1차 8F,하태수,02-2621-9800
10236865,유토피아ENT,김지훈,서울특별시 영등포구 버드나루로 119 (당산동),김지훈,010-****-****
10233995,주식회사 엠에이아이오티,김환석,경기도 성남시 분당구 돌마로 86 (구미동),김탁규,010-****-****
10233099,(주)이트랜씨엔씨,정병주,광주광역시 동구 서남로 14 (서석동),정병주,010-****-****
10082948,주식회사 대단,강건욱,"경기도 안산시 단원구 산단로 325, 11층 F-1125호(신길동, 안산스마트스퀘어1400)",김정상,031-419-5316
10084699,주식회사 더모모스,정세민,경상남도 밀양시 하남읍 양동농공단지길 10,정세민,070-4848-0457
10085290,(주)모람씨앤티,구준서,서울특별시 광진구 아차산로73길 28 (광장동) 대광빌딩 3층,김선우,02-478-2662
10236260,데이터플라이 주식회사,한상렬,경기도 고양시 일산동구 동국로 32 (식사동),한상렬,010-****-****
10236706,(주)이에스엠,강용림,서울특별시 구로구 디지털로27길 36 (구로동),강용림,02-837-6687
10232340,(주)옴니솔루션,박지훈,충청북도 청주시 청원구 오창읍 연구단지로 40,박지훈,010-****-****
10236691,(주) 유티아이,이경환,경상북도 구미시 산동읍 첨단기업4로 49-45,강병한,054-472-8090
10077916,(주)디에스텍,박천덕,"경상북도 포항시 남구 연일읍 연일로145번길 72, 4층",최홍규,054-272-7433
10082423,(주)엔이에스,박진수,충청북도 청주시 청원구 상당로 314 (내덕동),박진수,070-7579-4323
10235605,블루밍하트,윤광범,광주광역시 서구 경열로 18 (농성동),윤광범,010-****-****
10236546,(주)비바소프트,김순기,서울특별시 마포구 양화로 161 (동교동),김순기,010-****-****
10236803,(주) 골든플래닛,김동성,서울특별시 강남구 언주로 535 (역삼동),채정민,02-597-1811
10236840,신성,강민서,충청남도 천안시 서북구 성환읍 성환1로 167,강민서,070-4509-1472
10236854,주식회사 전성,김준홍,"대구광역시 남구 봉덕로 134 (봉덕동, 강변 코오롱 하늘채)",김성민,010-****-****
10065699,포인트,오재영,경상남도 창원시 성산구 완암로 50 (성산동) 메카동 308호,서세훈,055-297-9370
10074763,건솔루션(주),김삼성,"경기도 안양시 만안구 일직로94번길 28, 6층 (석수동, (주)프로텍이노션 알앤디센터)",임지혜,070-4472-4926
10101905,(주)카이디어,차기룡,"경상북도 구미시 구미대로 350-27(신평동), 경북산학융합본부 407호",차기룡,070-8256-9334
10236422,나우테스테크놀러지,임중권,경기도 안양시 동안구 학의로 282 (관양동),김태용,031-463-4201
10236510,(주)한성리프트,박광자,"부산광역시 사상구 주례로 12 (주례동, 광영빌딩)",김선중,051-971-3856
10235435,대광F.A,박정호,부산광역시 강서구 낙동북로43번길 7 (강동동),서민정,010-****-****
10236820,평행공간,이지은,서울특별시 서초구 매헌로 16 (양재동),김학래,02-6101-0909
10064667,디지탈센스,최주호,서울특별시 금천구 벚꽃로 254 (가산동),최주호,02-3473-7760
10106199,엔아이디소프트,최동준,서울특별시 금천구 가산디지털2로 144 (가산동),최동준,02-6015-5541
10001855,(주)이랜서,박우진,서울특별시 강남구 테헤란로 410 (대치동),김신표,02-545-0042
10236793,주식회사 지구자동화,임호동,경기도 화성시 팔탄면 하저자안로 169-44,임호성 책임,031-357-6034
10234281,주식회사 텔롬엑스,강종규,대전광역시 동구 산내로 431-16 (하소동),강종규,010-****-****
10231633,(주)토인,박호복,경기도 시흥시 시화벤처로 152 (정왕동),윤진현,031-434-2030
10081796,제이픽스,조성우,대구광역시 동구 팔공로 149 (불로동),조성우,053-267-1000
10004929,알서포트 주식회사,서형수,서울특별시 강동구 고덕비즈밸리로2가길 12 (고덕동),조지현,070-7011-0576
10070995,(주)티에스씨테크놀러지,고경민,경기도 안산시 단원구 산단로 232 (원시동),고경왕,031-475-9008
10236775,주식회사 뉴소프트랩,강민기,서울특별시 금천구 가산디지털2로 144 (가산동),송지영,010-****-****
10236698,주식회사 에임스,"정상내,김건홍",경상남도 창원시 성산구 웅남로 316 (웅남동),정필제,055-724-0788
10084660,(주)에이치시티,허봉재,경기도 이천시 마장면 서이천로578번길 74,김진호,031-757-5700
10236399,아르고마린토탈(주),이권익,전라남도 광양시 제철로 1655-426 (금호동),이주완,061-791-3399
10109176,주)원데이원커뮤니케이션,김창희,서울특별시 성동구 성수일로 99 (성수동1가),선세리,070-4143-0617
10094969,푸른들소프트,전재홍,대구광역시 남구 현충로 57 (대명동),전재홍,053-622-7747
10230969,스마터빌드(주),정대환,경기도 수원시 영통구 신원로 55 (신동),채석우,031-548-2519
10235707,주식회사엔스퀘어,탁승민,경상남도 진주시 진주대로 501 (가좌동),김형경,055-920-3255
10236529,(주)파모즈,원정환,서울특별시 마포구 토정로 121-1 (상수동),현정미,02-332-8148
10236716,주식회사 헬로프렌즈,강동신,서울특별시 도봉구 우이천로 381 (쌍문동),강동신,010-****-****
10230598,비컴유니버스(주),황영주,서울특별시 강남구 도곡로2길 9 (도곡동),박종근,010-****-****
10235081,(주)제이앤씨시스템즈,홍찬호,서울특별시 금천구 가산디지털1로 100 (가산동),홍찬호,02-6203-1090
10082145,에이원,신동렬,대구광역시 수성구 알파시티1로42길 11 (대흥동),신동렬,053-586-5837
10074875,(주)에스씨티,서창성,부산광역시 해운대구 센텀북대로 60 (재송동),서창성,070-7844-5733
10236436,주식회사 위솔루션,도병국,부산광역시 남구 수영로 309 (대연동),김채영,051-611-3757
10236295,지메이커 주식회사,김한상,서울특별시 금천구 벚꽃로 254 (가산동),김한상,02-2671-7507
10232573,주식회사 알엔티,김영진,경상남도 김해시 한림면 김해대로916번길 104-22,김영진,055-344-0068
10236748,주식회사 오르스마트테크,최미희,경기도 시흥시 서울대학로 59-21 (배곧동),박성원,010-****-****
10236524,(주)트로닉스,박병덕,광주광역시 북구 첨단벤처로 124 (월출동),정원준,062-525-0801
10236535,에픽모바일,김선호,전북특별자치도 전주시 덕진구 백제대로 605 (금암동),김선호,070-7913-7585
10107508,인그래디언트 주식회사,이준호,서울특별시 강남구 강남대로 364 (역삼동),김주성,02-6959-0503
10236620,암스트롱 로보틱스,라두련,경기도 화성시 향남읍 동오3길 40,라두련,010-****-****
10236678,론시스,천성민,경상남도 김해시 주촌면 소망길 88,천성민,055-902-2362
10087177,(주)케이메카트로닉스,김미례,경기도 화성시 정남면 문학로 22-17,박병길,031-366-3671
10236684,주식회사 국민기계,안성한,경상북도 포항시 남구 연일읍 형산강남로418번길 66-1,김봉석,054-275-0433
10004744,(주)신도기연,박웅기,경기도 시흥시 마유로238번길 21 (정왕동),현근종,031-434-5088
10075884,파멕스,박용진,경상남도 양산시 웅비공단길 118 (용당동) 주식회사 파멕스,전병민,010-****-****
10236726,주식회사네오닉스,최종만,경기도 시흥시 공단1대로 13 (정왕동),최종만,031-520-5041
10236746,(주)청풍산기,이배규,대구광역시 달서구 성서로5길 43 (대천동),이동노,053-583-7753
10105116,(주)용선에이엠티,박중호,경기도 화성시 서신면 제부로654번길 123,최호철,010-****-****
10236747,경은테크,강경모,경상남도 창원시 의창구 차룡로 41 (팔용동),장창민,055-298-7127
10236731,엠에스 주식회사,김상정,대구광역시 달서구 달서대로91길 35 (호림동),김상정,053-588-4569
10080549,위드테크,장영석,대구광역시 달서구 성서공단로39길27 1층 102호,장영석,053-523-6900
10081614,(주)다솔이엔지,홍신의,충청북도 청주시 흥덕구 강촌로194번길 15 (서촌동),박명종,070-4618-6821
10084555,모토텍(주),김태우,경상남도 김해시 진례면 진례로74번길 49,김태우,055-311-0106
10084014,주식회사 웨코,박하규,충청남도 아산시 음봉면 월산로 128-113,김영민,041-541-3221
10103817,(주)정인테크,김영환,경기도 안양시 동안구 엘에스로 92 (호계동),김영환,031-477-9818
10231598,(주)거화엔지니어링,이귀섭,경상남도 김해시 상동면 동북로473번길 126-128,송재천,055-329-0436
10004205,웰탑테크노스,박창림,충청남도 천안시 서북구 성거읍 봉주로 191,김영성,041-584-0431
10231648,에이스타테크,이은오,서울특별시 구로구 경인로53길 90 (구로동),강준호,010-****-****
10074070,(주)인스턴,국연호,대구광역시 달서구 성서공단로22길 12 (월암동),김수정,054-462-8441
10231288,오토파워,김경옥,경상남도 창원시 마산회원구 봉암공단10길 55 (봉암동),여학동,055-609-3506
10234188,주식회사 픽시스로보틱스,이철희,경기도 수원시 영통구 반달로7번길 30 (영통동),박상인,010-****-****
10231348,주식회사 에스케이이,정태열,경기도 광명시 금오로805번길 1-1 (옥길동),정태열,02-2060-0903
10230918,(주)하이네트서비스,박 은숙,서울특별시 강남구 강남대로42길 11 (도곡동),김명성,02-885-2300
10095152,(주)신진테크해양,김범준,경상남도 통영시 광도면 용호로 124,김희준,055-646-8230
10103818,주식회사 이에스티,김성일,경상남도 창원시 의창구 창원대로363번길 11(팔용동) 표준3공장 6동1호,김성일,821092102947
10086062,(주)휴먼텍,황교중,인천광역시 남동구 남동대로 298 (논현동),우진원,032-330-7201
10087770,(주)프랜즈시스템,송정호,인천광역시 부평구 백범로577번길 20 (십정동),송정호,070-8868-2826
10236223,(주)와이지소프트,양승보,대전광역시 서구 둔산중로72번길 32 (둔산동),양승보,042-472-0880
10236605,애그리펑션,박정호,"서울특별시 금천구 금하로 793 (시흥동, 벽산아파트)",손성환,010-****-****
10236495,씨케이홀딩스,최성호,경기도 화성시 향남읍 발안로 499-41,배용희,031-354-3684
10236682,주식회사 로보터블,최인현,경상남도 창원시 성산구 성산패총로38번길 10 (성산동),천경록,010-****-****
10236694,대진기공(주),김대광,경기도 화성시 팔탄면 온천로460번길 38,김대광,031-354-9804
10236586,평화기술주식회사,김성태,경상남도 창원시 성산구 성산패총로24번길 1 (성산동),홍희숙,010-****-****
